eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
85,171,0.0722,85.9865,0.0237,correct
85,171,0.0724,85.9865,0.0222,correct
85,171,0.0722,85.9865,0.0222,correct
85,171,0.0722,85.9865,0.0225,correct
84,171,0.0728,85.9865,0.0224,correct
85,170,0.0718,85.6278,0.0218,correct
85,170,0.0718,85.6278,0.022,correct
85,171,0.0722,85.9865,0.0218,correct
85,171,0.0722,85.9865,0.0212,correct
85,171,0.0722,85.9865,0.0219,correct
84,170,0.0718,85.963,0.0224,correct
85,170,0.0718,85.963,0.0221,correct
85,171,0.0722,85.9865,0.0224,correct
85,171,0.0722,85.9865,0.0209,correct
85,170,0.0718,85.963,0.0205,correct
85,171,0.0728,85.9865,0.0216,correct
85,171,0.0728,85.9865,0.0205,correct
85,171,0.0722,85.6533,0.0211,correct
84,171,0.0728,86.32,0.0216,correct
84,170,0.0718,85.963,0.0221,correct
85,170,0.0718,85.963,0.0214,correct
85,170,0.0718,86.2985,0.0216,correct
85,170,0.0718,85.963,0.0226,correct
85,171,0.0722,85.9865,0.0215,correct
86,167,0.0716,84.8682,0.0178,correct
85,171,0.0733,85.6533,0.0196,correct
86,171,0.0743,85.3203,0.0215,correct
86,172,0.0743,85.3474,0.0225,correct
86,171,0.0739,85.3203,0.022,correct
86,171,0.0733,85.3203,0.0209,correct
86,172,0.0742,85.3474,0.0223,correct
85,172,0.0742,85.0167,0.0222,correct
85,172,0.0738,85.3474,0.0238,correct
85,172,0.0738,85.0167,0.022,correct
86,172,0.0738,85.6785,0.0217,correct
85,172,0.0738,85.3474,0.0215,correct
86,172,0.0742,85.3474,0.0214,correct
85,172,0.0738,85.3474,0.023,correct
85,172,0.0738,85.6785,0.0223,correct
86,172,0.0738,85.0167,0.0224,correct
85,172,0.0738,85.3474,0.0216,correct
85,172,0.0738,85.3474,0.0237,correct
85,172,0.0738,85.6785,0.0218,correct
85,172,0.0738,85.0167,0.0222,correct
85,172,0.0738,85.3474,0.0217,correct
85,172,0.0738,85.6785,0.0216,correct
85,172,0.0738,85.3474,0.0225,correct
85,172,0.0742,85.3474,0.0222,correct
85,172,0.0738,85.3474,0.0239,correct
85,172,0.0742,85.3474,0.0232,correct
85,172,0.0738,85.3474,0.0227,correct
85,172,0.0748,85.3474,0.022,correct
85,172,0.0743,85.6785,0.023,correct
85,173,0.0748,85.3742,0.0235,correct
85,172,0.0743,85.3474,0.0233,correct
85,172,0.0738,85.3474,0.0238,correct
85,172,0.0742,85.3474,0.0221,correct
85,172,0.0738,85.6785,0.0226,correct
85,172,0.0738,85.3474,0.0215,correct
86,172,0.0742,85.3474,0.0218,correct
86,172,0.0743,85.3474,0.0231,correct
86,172,0.0738,85.3474,0.0235,correct
86,172,0.0743,85.3474,0.0217,correct
85,172,0.0738,85.3474,0.0232,correct
85,172,0.0738,85.3474,0.0231,correct
85,172,0.0738,85.6785,0.0226,correct
85,172,0.0738,85.3474,0.0222,correct
86,172,0.0738,85.3474,0.0221,correct
86,172,0.0738,85.3474,0.0221,correct
86,172,0.0738,85.3474,0.023,correct
85,172,0.0738,85.3474,0.0221,correct
85,172,0.0738,85.3474,0.023,correct
85,172,0.0738,85.3474,0.0216,correct
85,172,0.0738,85.3474,0.0226,correct
85,172,0.0743,85.3474,0.0224,correct
85,172,0.0738,85.3474,0.023,correct
85,173,0.0748,85.3742,0.0228,correct
85,173,0.0742,85.0453,0.0229,correct
86,173,0.0742,85.3742,0.0222,correct
85,173,0.0742,85.3742,0.0226,correct
86,173,0.0748,85.3742,0.0231,correct
86,172,0.0738,85.3474,0.0223,correct
86,172,0.0743,85.3474,0.0242,correct
86,173,0.0752,85.3742,0.0238,correct
86,173,0.0752,85.3742,0.0237,correct
86,172,0.0743,85.3474,0.0218,correct
86,173,0.0742,85.3742,0.0233,correct
86,173,0.0742,85.3742,0.0222,correct
86,173,0.0742,85.3742,0.0236,correct
86,173,0.0748,85.3742,0.0227,correct
85,173,0.0742,85.3742,0.0215,correct
86,173,0.0742,85.7033,0.023,correct
85,173,0.0748,85.7033,0.0222,correct
86,173,0.0748,85.0453,0.0226,correct
85,173,0.0748,85.0453,0.0235,correct
85,173,0.0748,85.0453,0.0238,correct
86,173,0.0748,85.3742,0.0243,correct
86,173,0.0748,85.3742,0.0235,correct
86,173,0.0748,85.3742,0.0227,correct
86,173,0.0748,85.3742,0.0232,correct
86,173,0.0748,85.3742,0.0233,correct
86,173,0.0748,85.3742,0.0218,correct
86,173,0.0748,85.3742,0.0232,correct
86,172,0.0743,85.3474,0.0227,correct
86,173,0.0748,85.3742,0.0222,correct
86,172,0.0743,85.3474,0.0223,correct
86,172,0.0743,85.3474,0.0226,correct
86,173,0.0748,85.7033,0.0239,correct
86,172,0.0748,85.3474,0.0247,correct
86,172,0.0743,85.3474,0.0224,correct
86,172,0.0743,85.3474,0.0234,correct
86,172,0.0743,85.3474,0.0219,correct
86,172,0.0743,85.3474,0.0222,correct
86,172,0.0743,85.3474,0.0235,correct
86,172,0.0738,85.3474,0.0214,correct
86,172,0.0738,85.3474,0.0228,correct
86,172,0.0738,85.3474,0.0222,correct
86,172,0.0743,85.3474,0.0232,correct
86,172,0.0743,85.3474,0.0236,correct
86,172,0.0738,85.3474,0.0224,correct
86,172,0.0743,85.3474,0.0224,correct
86,172,0.0743,85.3474,0.0225,correct
86,172,0.0743,85.3474,0.0238,correct
86,172,0.0743,85.3474,0.0243,correct
83,167,0.0705,84.8682,0.0186,correct
84,170,0.0729,85.2929,0.0231,correct
84,170,0.0729,85.2929,0.0237,correct
84,170,0.0729,84.9583,0.0243,correct
84,170,0.0729,85.2929,0.0244,correct
84,170,0.0729,85.2929,0.0254,correct
84,170,0.0729,85.2929,0.0232,correct
84,170,0.0729,85.2929,0.0246,correct
84,170,0.0729,85.2929,0.0244,correct
84,170,0.0729,85.2929,0.0233,correct
84,170,0.0729,85.2929,0.0225,correct
84,170,0.0729,85.2929,0.0217,correct
84,170,0.0729,84.9583,0.0235,correct
83,170,0.0729,85.6278,0.0227,correct
83,170,0.0729,85.6278,0.0231,correct
83,170,0.0729,85.6278,0.0233,correct
83,170,0.0729,85.6278,0.023,correct
83,170,0.0729,85.2929,0.0243,correct
84,170,0.0729,85.2929,0.0244,correct
84,170,0.0729,85.2929,0.0256,correct
84,170,0.0729,85.2929,0.0258,correct
84,170,0.0729,85.2929,0.0244,correct
83,169,0.0729,85.2652,0.0247,correct
83,169,0.0725,85.602,0.0243,correct
84,170,0.0729,85.2929,0.0253,correct
84,170,0.0728,85.2929,0.0231,correct
83,169,0.0725,85.2652,0.0241,correct
84,169,0.0725,85.2652,0.0235,correct
84,170,0.0733,85.2929,0.0236,correct
84,169,0.0725,85.2652,0.0231,correct
84,169,0.0725,85.2652,0.0229,correct
84,169,0.0729,85.2652,0.0233,correct
84,170,0.0729,85.2929,0.0236,correct
84,169,0.0729,85.2652,0.024,correct
84,170,0.0724,85.2929,0.0224,correct
83,170,0.0729,85.2929,0.0225,correct
83,170,0.0729,85.2929,0.0228,correct
83,169,0.0719,85.602,0.0244,correct
83,169,0.0729,85.2652,0.0245,correct
83,169,0.0729,85.2652,0.023,correct
