run_id,frame_idx,ts,eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
43132a0f,54,1756288005365,76,149,0.0576,86.1611,0.0719,head_down
43132a0f,55,1756288005398,77,148,0.0577,86.5207,0.0716,head_down
43132a0f,56,1756288005429,77,148,0.0581,86.1352,0.0722,head_down
43132a0f,57,1756288005464,77,148,0.0577,86.1352,0.073,head_down
43132a0f,58,1756288005528,77,148,0.0582,86.1352,0.0745,head_down
43132a0f,59,1756288005551,78,148,0.0582,86.1352,0.0802,head_down
43132a0f,60,1756288005568,78,148,0.0582,85.7501,0.0803,head_down
43132a0f,61,1756288005585,78,147,0.0582,86.109,0.0867,head_down
43132a0f,62,1756288005616,79,147,0.0578,86.109,0.0864,head_down
43132a0f,63,1756288005664,79,146,0.0578,86.0825,0.0844,head_down
43132a0f,64,1756288005695,78,147,0.0573,85.7213,0.0832,head_down
43132a0f,65,1756288005737,79,148,0.0587,85.7501,0.0836,head_down
43132a0f,66,1756288005766,79,147,0.0573,86.109,0.0834,head_down
43132a0f,67,1756288005792,79,147,0.0578,86.4971,0.0837,head_down
43132a0f,68,1756288005825,79,147,0.0578,86.4971,0.0818,head_down
43132a0f,69,1756288005857,78,147,0.0578,86.4971,0.0816,head_down
43132a0f,70,1756288005890,78,148,0.0582,86.5207,0.0825,head_down
43132a0f,71,1756288005925,79,148,0.0582,86.1352,0.0826,head_down
43132a0f,72,1756288005960,79,147,0.0587,86.4971,0.0834,head_down
43132a0f,73,1756288006011,79,147,0.0582,86.109,0.083,head_down
43132a0f,74,1756288006036,78,147,0.0577,86.109,0.0818,head_down
43132a0f,75,1756288006074,78,148,0.0582,86.5207,0.0819,head_down
43132a0f,76,1756288006104,78,149,0.0591,86.544,0.0821,head_down
43132a0f,77,1756288006134,79,148,0.0582,86.1352,0.0814,head_down
43132a0f,78,1756288006159,79,148,0.0582,86.5207,0.08,head_down
43132a0f,79,1756288006199,79,148,0.0582,86.5207,0.0821,head_down
43132a0f,80,1756288006230,78,149,0.0586,86.544,0.0799,head_down
43132a0f,81,1756288006265,78,149,0.0586,86.544,0.0793,head_down
43132a0f,82,1756288006295,78,149,0.0581,86.544,0.0812,head_down
43132a0f,83,1756288006345,79,149,0.0586,86.544,0.0805,head_down
43132a0f,84,1756288006373,79,148,0.0582,86.9065,0.0802,head_down
